14.5125 0
46.4399 contextH 0.00318052
79.8186 contextH 0.00313021
114.649 contextH 0.0031662
148.027 contextH 0.00316975
179.955 contextH 0.00330041
214.785 contextH 0.00343901
246.712 contextH 0.00340364
277.188 contextH 0.00332587
313.469 contextH 0.00337461
345.397 contextH 0.0032942
377.324 contextH 0.00318135
412.154 contextH 0.00333852
444.082 contextH 0.00321666
477.46 contextH 0.00439262
513.741 contextH 0.00477654
545.669 contextH 0.00741357
576.145 contextH 0.00878174
612.426 contextH 0.0101564
645.805 contextH 0.0117565
676.281 contextH 0.0127129
712.562 contextH 0.0133733
744.49 contextH 0.0134371
776.417 contextH 0.0132126
812.698 contextH 0.0129929
844.626 contextH 0.0126627
876.553 contextH 0.0123173
912.834 contextH 0.0120615
947.664 contextH 0.0125221
976.689 contextH 0.0130585
1015.87 contextH 0.0134949
1046.35 contextH 0.0138982
1076.83 contextH 0.0142061
1113.11 contextH 0.0146764
1145.03 contextH 0.0153133
1181.32 contextH 0.015774
1213.24 contextH 0.016097
1245.17 contextH 0.0161726
1281.45 contextH 0.0164914
1311.93 contextH 0.0165493
1345.31 contextH 0.0162402
1380.14 contextH 0.0160942
1413.51 contextH 0.0162381
1443.99 contextH 0.0162662
1481.72 contextH 0.0161777
1512.2 contextH 0.0161478
1545.58 contextH 0.0159267
1580.41 contextH 0.0160159
1612.34 contextH 0.0156764
1644.26 contextH 0.0157348
1682 contextH 0.0154552
1713.92 contextH 0.0155925
1744.4 contextH 0.0154374
1780.68 contextH 0.0152753
1814.06 contextH 0.0151758
1844.54 contextH 0.0150408
1882.27 contextH 0.0147573
1912.74 contextH 0.0148138
1944.67 contextH 0.0148763
1979.5 contextH 0.0146188
2012.88 contextH 0.0144484
2044.81 contextH 0.0140478
2081.09 contextH 0.0134472
2113.02 contextH 0.0129935
2144.94 contextH 0.0128212
2181.22 contextH 0.0126982
2216.05 contextH 0.0125288
2246.53 contextH 0.0124559
2279.91 contextH 0.0121617
2313.29 contextH 0.0119416
2345.22 contextH 0.0118221
2381.5 contextH 0.0116366
2413.42 contextH 0.0115168
2448.25 contextH 0.0112095
2481.63 contextH 0.0109061
2512.11 contextH 0.0107441
2548.39 contextH 0.0103606
2580.32 contextH 0.0101615
2613.7 contextH 0.010072
2648.53 contextH 0.0100916
2680.45 contextH 0.0099521
2712.38 contextH 0.0099718
2748.66 contextH 0.00986687
2780.59 contextH 0.00970289
2812.52 contextH 0.00938189
2848.8 contextH 0.00903978
2880.73 contextH 0.00877706
2914.1 contextH 0.0084915
2948.93 contextH 0.00830247
2982.31 contextH 0.00824573
3012.79 contextH 0.00793991
3049.07 contextH 0.00774573
3081 contextH 0.0074538
3112.93 contextH 0.00725714
3149.21 contextH 0.00695214
3181.13 contextH 0.00674078
3213.06 contextH 0.00642107
3249.34 contextH 0.00622246
3281.27 contextH 0.00601427
3313.2 contextH 0.0058435
3349.48 contextH 0.00575702
3381.41 contextH 0.00558549
3413.33 contextH 0.00558854
3448.16 contextH 0.00547435
3480.09 contextH 0.00541686
3513.47 contextH 0.00534411
3548.3 contextH 0.00511533
3580.23 contextH 0.00510399
3615.06 contextH 0.00505714
3648.44 contextH 0.00492118
3681.81 contextH 0.00484814
3715.19 contextH 0.00478103
3748.57 contextH 0.00467439
3781.95 contextH 0.004567
3815.33 contextH 0.00451193
3848.71 contextH 0.00447721
3880.64 contextH 0.00443029
3915.47 contextH 0.00435529
3948.84 contextH 0.00429721
3980.77 contextH 0.00419815
4015.6 contextH 0.00408529
4051.88 contextH 0.00409212
4080.91 contextH 0.00407152
4115.74 contextH 0.00394725
4149.12 contextH 0.00392701
4181.04 contextH 0.00379558
4215.87 contextH 0.00371888
4249.25 contextH 0.00370696
4281.18 contextH 0.00362292
4316.01 contextH 0.00349618
4349.39 contextH 0.00348203
4381.32 contextH 0.00345015
4416.15 contextH 0.00342888
4449.52 contextH 0.00333842
4480 contextH 0.00342447
4514.83 contextH 0.00331213
4548.21 contextH 0.00318258
4580.14 contextH 0.00317989
4620.77 contextH 0.00333991
4648.35 contextH 0.00358085
4681.72 contextH 0.00401646
4715.1 contextH 0.00469018
4748.48 contextH 0.0058648
4781.86 contextH 0.00703055
4815.24 contextH 0.00827346
4848.62 contextH 0.00946848
4883.45 contextH 0.010526
4915.38 contextH 0.0115839
4948.76 contextH 0.0120293
4986.49 contextH 0.0119157
5015.51 contextH 0.0115928
5048.89 contextH 0.0111995
5086.62 contextH 0.0114264
5115.65 contextH 0.0116385
5149.03 contextH 0.011846
5183.86 contextH 0.0121099
5215.79 contextH 0.0123959
5249.16 contextH 0.0132338
5286.9 contextH 0.0140356
5315.92 contextH 0.0149656
5349.3 contextH 0.0155243
5384.13 contextH 0.0160966
5416.06 contextH 0.0168968
5449.44 contextH 0.0176141
5484.27 contextH 0.0193279
5516.19 contextH 0.0196389
5548.12 contextH 0.0204104
5585.85 contextH 0.0205289
5614.88 contextH 0.0208705
5648.26 contextH 0.0206118
5685.99 contextH 0.0206433
5715.01 contextH 0.0204791
5748.39 contextH 0.0202738
5786.13 contextH 0.0199376
5818.05 contextH 0.019599
5848.53 contextH 0.0192038
5883.36 contextH 0.0185563
5915.29 contextH 0.0180791
5948.67 contextH 0.0174888
5986.4 contextH 0.0167223
6015.42 contextH 0.016505
6051.7 contextH 0.0164002
6083.63 contextH 0.0168731
6118.46 contextH 0.017043
6153.29 contextH 0.017273
6183.77 contextH 0.0176288
6215.69 contextH 0.018235
6253.43 contextH 0.0186334
6286.81 contextH 0.0191063
6315.83 contextH 0.0197084
6353.56 contextH 0.020056
6386.94 contextH 0.0203831
6415.97 contextH 0.0206827
6453.7 contextH 0.0207659
6484.18 contextH 0.0205928
6516.1 contextH 0.0205953
6555.29 contextH 0.0204485
6587.21 contextH 0.0200686
6619.14 contextH 0.0198487
6653.97 contextH 0.0197291
6685.9 contextH 0.0194683
6714.92 contextH 0.0189811
6754.11 contextH 0.0185396
6786.03 contextH 0.0182355
6815.06 contextH 0.0181818
6854.24 contextH 0.0180402
6883.27 contextH 0.0179952
6915.19 contextH 0.0181097
6954.38 contextH 0.0181665
6986.31 contextH 0.0179005
7015.33 contextH 0.0179157
7054.51 contextH 0.0180301
7083.54 contextH 0.0179748
7115.47 contextH 0.0179239
7153.2 contextH 0.0178082
7186.58 contextH 0.0177961
7221.41 contextH 0.0177329
7254.79 contextH 0.017167
7283.81 contextH 0.0168497
7321.54 contextH 0.0171262
7353.47 contextH 0.0166003
7385.4 contextH 0.0163629
7421.68 contextH 0.0163252
7453.61 contextH 0.0168528
7484.08 contextH 0.0171264
7520.36 contextH 0.0175001
7553.74 contextH 0.0182883
7587.12 contextH 0.019291
7620.5 contextH 0.0204753
7653.88 contextH 0.021325
7685.81 contextH 0.0240731
7720.64 contextH 0.0245772
7752.56 contextH 0.0258726
7785.94 contextH 0.0265472
7822.22 contextH 0.0271452
7854.15 contextH 0.0273388
7886.08 contextH 0.027164
7920.91 contextH 0.0267529
7952.84 contextH 0.0261207
7986.22 contextH 0.0255548
8022.5 contextH 0.0247433
8055.88 contextH 0.0239805
8083.45 contextH 0.023185
8121.18 contextH 0.0224136
8154.56 contextH 0.0216981
8183.59 contextH 0.0208805
8221.32 contextH 0.0200898
8253.25 contextH 0.0195595
8286.62 contextH 0.0192319
8321.46 contextH 0.0190978
8351.93 contextH 0.0189262
8383.86 contextH 0.0188356
8421.59 contextH 0.0192709
8453.52 contextH 0.0195047
8488.35 contextH 0.0197399
8521.73 contextH 0.0200412
8555.11 contextH 0.0203555
8588.49 contextH 0.0205309
8623.32 contextH 0.0208136
8653.79 contextH 0.0210914
8690.07 contextH 0.0211724
8722 contextH 0.0213818
8753.93 contextH 0.0215036
8790.21 contextH 0.0212723
8820.69 contextH 0.0211154
8854.07 contextH 0.0209634
8890.35 contextH 0.0207629
8923.73 contextH 0.0201846
8954.2 contextH 0.0196552
8989.03 contextH 0.0191613
9022.41 contextH 0.0186299
9054.34 contextH 0.0182312
9089.17 contextH 0.0179268
9121.1 contextH 0.0174043
9154.48 contextH 0.0169478
9189.31 contextH 0.0167208
9221.23 contextH 0.016448
9254.61 contextH 0.0164394
9289.44 contextH 0.01657
9321.37 contextH 0.0163876
9354.75 contextH 0.016156
9388.13 contextH 0.0159978
9421.51 contextH 0.0162573
9453.44 contextH 0.0157993
9489.72 contextH 0.0151453
9521.64 contextH 0.0152722
9553.57 contextH 0.0157381
9589.85 contextH 0.0157021
9620.33 contextH 0.0154258
9656.61 contextH 0.0149853
9689.99 contextH 0.0146442
9721.92 contextH 0.0144845
9756.75 contextH 0.0141293
9790.13 contextH 0.0142809
9822.05 contextH 0.0148921
9856.88 contextH 0.0154563
9888.81 contextH 0.016223
9920.74 contextH 0.0174918
9957.02 contextH 0.0201203
9988.95 contextH 0.0216862
10020.9 contextH 0.0229072
10057.2 contextH 0.0237176
10089.1 contextH 0.0242542
10122.5 contextH 0.0247303
10157.3 contextH 0.0248619
10190.7 contextH 0.0248206
10221.2 contextH 0.0245684
10256 contextH 0.0241001
10289.4 contextH 0.0235725
10321.3 contextH 0.0228094
10356.1 contextH 0.0220656
10389.5 contextH 0.0211762
10421.4 contextH 0.0203083
10456.3 contextH 0.0195548
10489.6 contextH 0.0188148
10521.6 contextH 0.0184299
10557.8 contextH 0.0181872
10588.3 contextH 0.0180233
10621.7 contextH 0.0179466
10656.5 contextH 0.0178098
10689.9 contextH 0.0177373
10721.8 contextH 0.0178945
10756.7 contextH 0.01776
10788.6 contextH 0.0178084
10822 contextH 0.0177943
10858.3 contextH 0.0179808
10890.2 contextH 0.0179937
10925 contextH 0.0180686
10956.9 contextH 0.0179791
10988.9 contextH 0.0176821
11025.1 contextH 0.0175224
11058.5 contextH 0.0173268
11089 contextH 0.0171563
